COD;ARTIC;PR_CON_IVA;usa_tinto;tipo_tinto;base_tinto;base_fisica_tinto;factor_envase_tinto;ajuste_formula_tinto;factor_tinto;litros_reales;kilos_reales;unidad_detectada;confianza_tinto;regla_tinto;observacion_tinto;Artículo;Descripción;P. C.F.
82010993;ACRILPLAST IE BLANCO 1 LTS;20014.13;SI;PINTURA;PASTEL;PASTEL;1;1;1;1;;L;MANUAL;Acrilplast IE Blanco x1;Regla manual: Acrilplast IE Blanco x1, Presentación 1L;;;
82010996;ACRILPLAST IE BLANCO 10 LTS;121677.65;SI;PINTURA;PASTEL;PASTEL;10;1;10;10;;L;MANUAL;Acrilplast IE Blanco x1;Regla manual: Acrilplast IE Blanco x1, Presentación 10L;;;
82010997;ACRILPLAST IE BLANCO 20 LTS;222735.58;SI;PINTURA;PASTEL;PASTEL;20;1;20;20;;L;MANUAL;Acrilplast IE Blanco x1;Regla manual: Acrilplast IE Blanco x1, Presentación 20L;;;
82010994;ACRILPLAST IE BLANCO 4 LTS;51572.7;SI;PINTURA;PASTEL;PASTEL;4;1;4;4;;L;MANUAL;Acrilplast IE Blanco x1;Regla manual: Acrilplast IE Blanco x1, Presentación 4L;;;
82010973;ACRILPLAST IE DEEP 1 LT;17611.74;SI;PINTURA;DEEP;DEEP;1;1;1;1;;L;ALTA;auto_base_en_nombre;Presentación 1L;;;
82010977;ACRILPLAST IE DEEP 20 LTS;196486.23;SI;PINTURA;DEEP;DEEP;20;1;20;20;;L;ALTA;auto_base_en_nombre;Presentación 20L;;;
82010974;ACRILPLAST IE DEEP 4 LTS;46598.26;SI;PINTURA;DEEP;DEEP;4;1;4;4;;L;ALTA;auto_base_en_nombre;Presentación 4L;;;
82015393;ACRILPLAST IE GRIS CEMENTO 1 LT;22531.65;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82015397;ACRILPLAST IE GRIS CEMENTO 20 LTS;278780.83;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82015394;ACRILPLAST IE GRIS CEMENTO 4 LTS;61456.36;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82013833;ACRILPLAST IE MARRON AFRICANO 1 LT;22531.65;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82013837;ACRILPLAST IE MARRON AFRICANO 20 LTS;278780.83;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82013834;ACRILPLAST IE MARRON AFRICANO 4 LTS;62321.95;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82017003;ACRILPLAST IE NEGRO EBANO 1 LT;22531.65;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82017007;ACRILPLAST IE NEGRO EBANO 20 LTS;278780.83;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82017004;ACRILPLAST IE NEGRO EBANO 4 LTS;62321.95;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82013213;ACRILPLAST IE OCRE 1 LT;22531.65;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82013217;ACRILPLAST IE OCRE 20 LTS;278780.83;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82013214;ACRILPLAST IE OCRE 4 LTS;62321.95;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82014513;ACRILPLAST IE ROJO BORGOÑA 1 LT;22531.65;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82014517;ACRILPLAST IE ROJO BORGOÑA 20 LTS;266108.97;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82014514;ACRILPLAST IE ROJO BORGOÑA 4 LTS;62321.95;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82014043;ACRILPLAST IE ROJO TEJA 1 LTS;22531.65;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82014047;ACRILPLAST IE ROJO TEJA 20 LTS;278780.83;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82014044;ACRILPLAST IE ROJO TEJA 4 LTS;60590.79;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82010983;ACRILPLAST IE TINT 1 LT;19129.65;SI;PINTURA;TINT;TINT;1;1;1;1;;L;ALTA;auto_base_en_nombre;Presentación 1L;;;
82010987;ACRILPLAST IE TINT 20 LTS;214876.89;SI;PINTURA;TINT;TINT;20;1;20;20;;L;ALTA;auto_base_en_nombre;Presentación 20L;;;
82010984;ACRILPLAST IE TINT 4 LTS;48552.86;SI;PINTURA;TINT;TINT;4;1;4;4;;L;ALTA;auto_base_en_nombre;Presentación 4L;;;
82015613;ACRILPLAST IE VERDE FORESTA 1 LT;27685.97;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82015617;ACRILPLAST IE VERDE FORESTA 20 LTS;332192.61;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
82015614;ACRILPLAST IE VERDE FORESTA 4 LTS;74418.97;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
81611027;ACRILPLAST INTERIOR BLANCO 20 LTS;195346.73;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
75690001;ADHERENTE INTERMEDIO EPOXI 2 LTS (1 LT A + 1 LT B);716.88;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
75690002;ADHERENTE INTERMEDIO EPOXI 8 LTS (4 LT A + 4 LT B);2644.89;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
SBDTR1/4;ADHESIVO DE CONTACTO TRANSP.LATA;20336.41;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
72311152;ADHESIVO EPOXI  A+B 5 KGS;283767.52;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
60404507;ADHESIVO PARA PORCELANATO 25 KGS;44648.71;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
ZAP10B;ADHESIVO ZAPATILLAS SUPRABOND 10g;7947.34;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
FORTEX1000;ADHESIVO/COLA VINILICA FORTEX 1 kl;345.09;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
FORTEX0500;ADHESIVO/COLA VINILICA FORTEX 1/2;256.74;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43589082;AEROSOL SINTE EPOXI ACERO 440 CC;22078.08;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
AFXW16;Afix 16u blister;10328.61;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
AFXPC120;Afix practi clavo 20u;13563.6;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
AFXWR2;Afix rollo 1,2cm x 2m;11476.21;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
EMF;AG ESPONJA CARROCERIA FINA MARRON;766.67;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
ELMF;AG ESPONJA CARROCERIA MICRO LILA;766.67;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
EVSF;AG ESPONJA CARROCERIA SUPER FINA VERDE;766.67;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
600085;AGITADOR MULTIMIX;37142.86;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
WA38508;AGITADOR PARA TALADRO;19285.72;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40330632;AGUAPLAST MADERA 125 ML CAOBA;13310.54;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40330652;AGUAPLAST MADERA 125 ML NEGRO WENGE;13310.54;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40330622;AGUAPLAST MADERA 125 ML NOGAL;13310.54;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40330642;AGUAPLAST MADERA 125 ML NOGAL OSCURO;13310.54;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40330612;AGUAPLAST MADERA 125 ML PINO;13310.54;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40330602;AGUAPLAST MADERA 125 ML ROBLE;13310.54;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
650223;ANDAMIO PLEGABLE CON BANDEJA;32883.59;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
71727222;ANTIOXIDO EPOXI GRIS N.I. 1196 4 LTS;202727.14;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
71724012;ANTIOXIDO EPOXI ROJO  N I  1196 4 LTS (A+B);225661.16;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
71724011;ANTIOXIDO EPOXI ROJO N I  1196 1 LTS (A+B);65992.14;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
HDY001;APLICADOR HANDYMAN;1252.35;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
WB1233;APLICADOR LLANA PLASTICA 12x30;10599.99;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
EG01079190;APLICADOR PLANO ARTICULADO PAD 9;41390.82;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
EG01079090;APLICADOR PLANO FIJO PAD 9;31535.77;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
1001184;ART WALL CUADROS 500 M X 500 M;643.43;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
10001161;AX6 3021 AFLOJA/DESTRABA (DES.ANTI) 250;6550.19;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
19/CE;Bandeja de Colgar con Escurridor;6574.64;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
17-ROS;Bandeja Mini /mesa;1840.23;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
18-Ros;Bandeja Plana (apilable);5788.36;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
200/40;BANDEJA PLANA XL 44cm;22524.91;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
BRNIZAG005;BARNIZ AL AGUA 1/2 LT BRILLANTE;1478.57;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
BNZAG001;BARNIZ AL AGUA 1LT BRILLANTE;2792.86;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
BRNIZAG004;BARNIZ AL AGUA 4LT BRILLANTE;10185.72;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
52590007;BARNIZ IGNIFUGO BRILLANTE  20 LTS;1548622.95;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
52590004;BARNIZ IGNIFUGO BRILLANTE  4 LTS;345872.18;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
52510007;BARNIZ INTUMESCENTE INCOLORO 20 LTS;11165.21;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
F30UT41;BARRAS ADH.U.TRANSP. 0,74X30CMX41;796.87;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
60404367;BASE COAT FINO 20 KGS;42136.46;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
60404387;BASE COAT NF 25 KGS;36470.44;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
89310007;BASE NIVELADORA REVESTIMIENTOS 30 KGS;205965.74;SI;BASE_REVESTIMIENTO;MULTI;BASE_REVESTIMIENTO;24;DINAMICO;24;;30;KG;LABORATORIO_MANUAL;BASE_REVESTIMIENTO;Base Revestimiento: 5kg equivale 4L, 25kg equivale 20L. ACCENT 100%, PASTEL 25%, TINT 40%, DEEP 60%.;;;
40300903;BRIK-CEN CH-135 ADHESIVO MONTAJE 12x300;5308.84;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300103;BRIK-CEN CS-20 SANIT BLANCO CART x 300;6619.16;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300102;BRIK-CEN CS-20 SANIT BLANCO TUBO x 85;4302.06;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300003;BRIK-CEN CS-20 SANIT TRANS CART x 300 GR;30190.31;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300002;BRIK-CEN CS-20 SANIT TRANS TUBO 80 GR;4628.59;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300703;BRIK-CEN CS-350 ALT TEMP GRIS CART 12x300;486.11;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300802;BRIK-CEN CS-350 ALT TEMP GRIS TUBO 12x85;284.48;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40301403;BRIK-CEN MS AQUA CART 12x290;91559.16;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40301402;BRIK-CEN MS AQUA TUBO 12x125;59710.35;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300007;BRIK-CEN MS CRISTAL CART. 290;13308.25;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300008;BRIK-CEN MS CRISTAL. TUBO. 125 GR;9505.88;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40301303;BRIK-CEN MS-291 FLEX BCO CART 25x290;45740.07;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40301353;BRIK-CEN MS-291 FLEX GIRS CART 25x290;10654.69;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40301373;BRIK-CEN MS-291 FLEX MARRON CART 25x290;1124.27;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300004;BRIK-CEN MS-LUNETAS NEGRO CART. 290;80428.22;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40301502;BRIK-CEN PL-25 ELIMINA SILICONA 12x100;859.05;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300005;BRIK-CEN PM CARROCERIAS BCO CART 290;35762.11;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40301103;BRIK-CEN PM-30 PEGA Y SELLA BLANCO 12x280;45491.26;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40301153;BRIK-CEN PM-30 PEGA Y SELLA GRIS 12x280;45491.26;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40301503;BRIK-CEN SP-128 ESPUMA POLIURET 12x750;64891.71;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
40300006;BRIK-CEN SP-508 ESPUMA POLIURET. 350;8585.98;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43997261;BRILLO MAX GRIS ESPACIAL 1/4 LTS;10123.49;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43990963;BRILLOPLAST MAX ACCENT 1 LT;26630.87;SI;PINTURA;ACCENT;ACCENT;1;1;1;1;;L;ALTA;auto_base_en_nombre;Presentación 1L;;;
43990967;BRILLOPLAST MAX ACCENT 20 LTS;397083.69;SI;PINTURA;ACCENT;ACCENT;20;1;20;20;;L;ALTA;auto_base_en_nombre;Presentación 20L;;;
43990964;BRILLOPLAST MAX ACCENT 4 LTS;87771.49;SI;PINTURA;ACCENT;ACCENT;4;1;4;4;;L;ALTA;auto_base_en_nombre;Presentación 4L;;;
43999003;BRILLOPLAST MAX ALUMINIO 1 LTS;37302.9;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43999002;BRILLOPLAST MAX ALUMINIO 1/2 LTS;24497.49;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43999007;BRILLOPLAST MAX ALUMINIO 20 LTS;641467.84;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43999004;BRILLOPLAST MAX ALUMINIO 4 LTS;140680.53;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992103;BRILLOPLAST MAX AMARILLO FLUO 1 LT;55572.12;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992101;BRILLOPLAST MAX AMARILLO FLUO 1/4 LT;15685.19;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992163;BRILLOPLAST MAX AMARILLO MEDIANO 1 LTS;39375.28;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992162;BRILLOPLAST MAX AMARILLO MEDIANO 1/2 LTS;24497.49;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992161;BRILLOPLAST MAX AMARILLO MEDIANO 1/4 LTS;12209.99;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992167;BRILLOPLAST MAX AMARILLO MEDIANO 20 LTS;641467.84;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992164;BRILLOPLAST MAX AMARILLO MEDIANO 4 LTS;140680.53;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992603;BRILLOPLAST MAX AMARILLO VIALIDAD 1 LTS;39375.28;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992602;BRILLOPLAST MAX AMARILLO VIALIDAD 1/2 LTS;24497.49;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992601;BRILLOPLAST MAX AMARILLO VIALIDAD 1/4 LTS;12209.88;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992607;BRILLOPLAST MAX AMARILLO VIALIDAD 20 LTS;641467.84;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43992604;BRILLOPLAST MAX AMARILLO VIALIDAD 4 LTS;140680.53;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996873;BRILLOPLAST MAX AZUL MARINO 1 LTS;30275.43;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996872;BRILLOPLAST MAX AZUL MARINO 1/2 LTS;19192.5;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996871;BRILLOPLAST MAX AZUL MARINO 1/4 LTS;10183.29;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996877;BRILLOPLAST MAX AZUL MARINO 20 LTS;472082;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996874;BRILLOPLAST MAX AZUL MARINO 4 LTS;107552.08;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996413;BRILLOPLAST MAX AZUL TRAFUL 1 LTS;30275.43;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996412;BRILLOPLAST MAX AZUL TRAFUL 1/2 LTS;19192.5;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996411;BRILLOPLAST MAX AZUL TRAFUL 1/4 LTS;10183.29;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996417;BRILLOPLAST MAX AZUL TRAFUL 20 LTS;472082;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996414;BRILLOPLAST MAX AZUL TRAFUL 4 LTS;107552.08;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996543;BRILLOPLAST MAX AZULEJO 1 LTS;30275.43;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996542;BRILLOPLAST MAX AZULEJO 1/2 LTS;19192.5;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996541;BRILLOPLAST MAX AZULEJO 1/4 LTS;10183.02;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996547;BRILLOPLAST MAX AZULEJO 20 LTS;472082;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43996544;BRILLOPLAST MAX AZULEJO 4 LTS;107552.08;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43991643;BRILLOPLAST MAX BEIGE 1 LTS;26808.59;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43991642;BRILLOPLAST MAX BEIGE 1/2 LTS;16939.38;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43991647;BRILLOPLAST MAX BEIGE 20 LTS;429675.36;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43991644;BRILLOPLAST MAX BEIGE 4 LTS;94233.13;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994353;BRILLOPLAST MAX BERMELLON CLARO 1 LTS;39375.28;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994352;BRILLOPLAST MAX BERMELLON CLARO 1/2 LTS;24497.49;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994351;BRILLOPLAST MAX BERMELLON CLARO 1/4 LT;12209.88;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994357;BRILLOPLAST MAX BERMELLON CLARO 20 LTS;641467.84;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994354;BRILLOPLAST MAX BERMELLON CLARO 4 LTS;140680.53;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994804;BRILLOPLAST MAX BERMELLON OSCURO  4 LTS;112044.98;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994803;BRILLOPLAST MAX BERMELLON OSCURO 1 LTS;31354.29;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994802;BRILLOPLAST MAX BERMELLON OSCURO 1/2 LTS;19498.56;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994801;BRILLOPLAST MAX BERMELLON OSCURO 1/4 LTS;10273.6;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994807;BRILLOPLAST MAX BERMELLON OSCURO 20 LTS;510896.3;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43990993;BRILLOPLAST MAX BLANCO 1 LTS;31354.29;SI;PINTURA;PASTEL;PASTEL;1;1;1;1;;L;MANUAL;Brilloplast Max Blanco x1;Regla manual: Brilloplast Max Blanco x1, Presentación 1L;;;
43991002;BRILLOPLAST MAX BLANCO 1/2 LTS;19498.56;SI;PINTURA;PASTEL;PASTEL;0.5;1;0.5;0.5;;L;MANUAL;Brilloplast Max Blanco x1;Regla manual: Brilloplast Max Blanco x1, 1/2 detectado;;;
43991001;BRILLOPLAST MAX BLANCO 1/4 LTS;13462.01;SI;PINTURA;PASTEL;PASTEL;0.25;1;0.25;0.25;;L;MANUAL;Brilloplast Max Blanco x1;Regla manual: Brilloplast Max Blanco x1, 1/4 detectado;;;
43990997;BRILLOPLAST MAX BLANCO 20 LTS;510896.3;SI;PINTURA;PASTEL;PASTEL;20;1;20;20;;L;MANUAL;Brilloplast Max Blanco x1;Regla manual: Brilloplast Max Blanco x1, Presentación 20L;;;
43990994;BRILLOPLAST MAX BLANCO 4 LTS;112044.98;SI;PINTURA;PASTEL;PASTEL;4;1;4;4;;L;MANUAL;Brilloplast Max Blanco x1;Regla manual: Brilloplast Max Blanco x1, Presentación 4L;;;
43993173;BRILLOPLAST MAX CASTAÑO 1 LTS;26808.59;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43993172;BRILLOPLAST MAX CASTAÑO 1/2 LTS;16939.38;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43993171;BRILLOPLAST MAX CASTAÑO 1/4 LTS;9239.28;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43993177;BRILLOPLAST MAX CASTAÑO 20 LTS;327908.71;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43993174;BRILLOPLAST MAX CASTAÑO 4 LTS;94233.13;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994033;BRILLOPLAST MAX CEDRO 1 LTS;26808.59;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994032;BRILLOPLAST MAX CEDRO 1/2 LTS;16939.38;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994037;BRILLOPLAST MAX CEDRO 20 LTS;429675.36;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994034;BRILLOPLAST MAX CEDRO 4 LTS;94233.13;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43994031;BRILLOPLAST MAX CEDRO1/4 LTS;9239.28;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43999503;BRILLOPLAST MAX COBRE 1 LT;55572.12;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43999501;BRILLOPLAST MAX COBRE 1/4 LT;15685.19;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43991503;BRILLOPLAST MAX CREMA 1 LTS;30275.43;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43991502;BRILLOPLAST MAX CREMA 1/2 LTS;19192.5;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43991501;BRILLOPLAST MAX CREMA 1/4LTS;10183.02;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43991507;BRILLOPLAST MAX CREMA 20 LTS;472082;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43991504;BRILLOPLAST MAX CREMA 4 LTS;107552.08;NO;;;;;;;;;;;;Sin base tintométrica detectada;;;
43990973;BRILLOPLAST MAX DEEP 1 LT;30956.29;SI;PINTURA;DEEP;DEEP;1;1;1;1;;L;ALTA;auto_base_en_nombre;Presentación 1L;;;
43990977;BRILLOPLAST MAX DEEP 20 LTS;460058.01;SI;PINTURA;DEEP;DEEP;20;1;20;20;;L;ALTA;auto_base_en_nombre;Presentación 20L;;;
43990974;BRILLOPLAST MAX DEEP 4 LTS;99809.91;SI;PINTURA;DEEP;DEEP;4;1;4;4;;L;ALTA;auto_base_en_nombre;Presentación 4L;;;
